country,dim_code,dimension,primary_source_url,coder2_level(0-4),coder2_evidence_grade(H/M/L),coder2_justification,coder2_extra_source(optional)
China,B1,Indigenous PQC primitive,https://www.niccs.org.cn/symmbzyjy/tzgg/pc/content/1976155884915003392/content_1976155884915003392.html,3,H,"ICCS next-generation public-key algorithm call seen on niccs.org.cn (issued Feb 2025, submissions closed June 2026); the CACR 2018-19 competition produced indigenous schemes (LAC, Aigis) and LAC was a NIST Round 2 submission; no national PQC standard has been issued yet.",https://thequantuminsider.com/2026/03/19/china-expects-post-quantum-cryptography-standards-within-three-years/
China,B2,PQC implementation control,https://en.qapp.tech/help/cacr,2,M,"QApp CACR page is secondary and covers the competition, not implementations; OpenSSL Conference 2025 slides on PQC in Tongsuo show a Chinese-maintained library implementing PQC schemes; no hardened or certified domestic PQC product verified.",https://archive.openssl-conference.org/2025/presentations/Yuchen_Wang_PQC_in_China_and_the_development_of_PQC_in_Tongsuo.pdf
China,B3,PQC validation & evaluation,https://docbox.etsi.org/Workshop/2018/201811_ETSI_IQC_QUANTUMSAFE/EXECUTIVETRACK/JING_CHINESEACCADEMYOFSCIENCE.pdf,2,M,"ETSI 2018 slide PDF fetched but did not parse; the CACR 2018-19 competition evaluated 36 submissions and the ICCS call defines formal evaluation rounds, which is a national PQC evaluation activity; a PQC product testing/certification programme is only reported by a vendor blog and not verified.",https://www.niccs.org.cn/symmbzyjy/tzgg/pc/content/1976155884915003392/content_1976155884915003392.html
Germany,B1,Indigenous PQC primitive,https://pq-crystals.org/,3,H,"pq-crystals.org lists German-affiliated designers (Kiltz at Bochum, Schwabe at MPI-SP, Avanzi at ARM Germany) on the CRYSTALS-Kyber/Dilithium team; the schemes were standardized by NIST, not a German body, so co-authored scheme submitted to an international process.",
Germany,B2,PQC implementation control,https://www.bsi.bund.de/,3,H,"BSI Botan page: Rohde & Schwarz Cybersecurity maintains Botan under BSI contract and BSI recommends the reviewed release 3.7.1-RSCS1 implementing ML-KEM, FrodoKEM, Classic McEliece, ML-DSA, SLH-DSA, XMSS and HSS/LMS with side-channel countermeasures for security-sensitive use.",https://www.bsi.bund.de/EN/Themen/Unternehmen-und-Organisationen/Informationen-und-Empfehlungen/Kryptografie/Kryptobibliothek-Botan/kryptobibliothek-botan_node.html
Germany,B3,PQC validation & evaluation,https://www.bsi.bund.de/EN/Themen/Unternehmen-und-Organisationen/Informationen-und-Empfehlungen/Kryptografie/kryptografie_node.html,3,M,"BSI cryptography landing page is generic; the Infineon press page did not render its body, but multiple secondary reports state BSI issued a Common Criteria EAL6 certificate for Infineon's ML-KEM implementation in Jan 2025, evidencing a national PQC certification capability.",https://www.infineon.com/press-release/2025/infcss202501-043
France,B1,Indigenous PQC primitive,https://falcon-sign.info/,3,M,"falcon-sign.info names the Falcon designers (including Fouque, Pornin, Prest, Ricosset) and the Nov 2017 NIST submission; the page does not list affiliations, so the French attribution (Rennes, Thales) is inferred; Falcon was selected by NIST, not a French body.",
France,B2,PQC implementation control,https://cyber.gouv.fr/,3,H,"cyber.gouv.fr root page is generic; the ANSSI news item reports a Common Criteria certificate for the Thales MultiApp 5.2 Premium PQC smartcard (Sept 2025), a French production PQC implementation.",https://cyber.gouv.fr/actualites/premiers-visas-de-securite-incluant-de-la-cryptographie-post-quantique
France,B3,PQC validation & evaluation,https://cyber.gouv.fr/actualites/premiers-visas-de-securite-incluant-de-la-cryptographie-post-quantique,3,H,"ANSSI page: first CC certificates for products including lattice-based PQC (Thales, Samsung) issued Sept/Oct 2025 with evaluation by the CEA-Leti CESTI, a national PQC certification capability; the 2027 PQC-only certification rule is announced, not yet in force.",https://thequantuminsider.com/2026/06/18/france-says-it-will-wont-certify-security-products-that-arent-quantum-resistent-starting-in-2027/
Canada,B1,Indigenous PQC primitive,https://uwaterloo.ca/math/news/waterloo-researchers-leading-quest-protect-against-quantum,3,H,"Waterloo news page: SIKE (led by David Jao, Waterloo) and FrodoKEM (co-designed by Stebila) were NIST submissions and Schanck was on NTRU/Kyber; SIKE was later broken and no indigenous scheme is nationally standardized.",https://csrc.nist.gov/csrc/media/Projects/post-quantum-cryptography/documents/round-4/submissions/SIKE-spec.pdf
